,corpus_name,committee_name,title,date,signature,inv,main_chair
63,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Pluralizmu Związkowego,STENOGRAM z trzeciego posiedzenia Zespołu do spraw Pluralizmu Związkowego,24 lutego 1989 r,SYGNATURA= 9540/3,INW= 46007,Romuald Sosnowski
64,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Pluralizmu Związkowego,STENOGRAM z dziesiątego posiedzenia Zespołu do spraw Pluralizmu Związkowego,4 kwietnia 1989 r,SYGNATURA= 9540/3,INW= 46014,Aleksander Kwaśniewski
65,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Środków Masowego Przekazu,STENOGRAM z drugiego posiedzenia Podzespołu do spraw Środków Masowego Przekazu,25 lutego 1989 r,SYGNATURA= ,INW= 46054,Krzysztof Kozłowski
66,KORPUS= Obrady Okrągłego Stołu,Obrady plenarne,STENOGRAM z posiedzeń plenarnych Okrągłego Stołu,6 lutego i 5 kwietnia 1989 r,SYGNATURA= C9540/1,INW= 46091,Czesław Kiszczak
67,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Stowarzyszeń i Samorządu Terytorialnego,STENOGRAM z posiedzenia Grupy do spraw Samorządu Terytorialnego [5],4 marca 1989 r,SYGNATURA= C9540/14,INW= 46046,Jerzy Regulski
68,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Pluralizmu Związkowego,STENOGRAM z dziewiątego posiedzenia Zespołu do spraw Pluralizmu Związkowego,30 marca 1989 r,SYGNATURA= 9540/3,INW= 46013,Romuald Sosnowski
69,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Stowarzyszeń i Samorządu Terytorialnego,STENOGRAM z posiedzenia Podzespołu do spraw Stowarzyszeń i Samorządu Terytorialnego [1],21 lutego 1989 r,SYGNATURA= C9540/14,INW= 46042,Kazimierz Secomski
70,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Reform Politycznych,STENOGRAM z czwartego posiedzenia Zespołu do spraw Reform Politycznych,9 marca 1989 r,SYGNATURA= 9540/4,INW= 45999,Janusz Reykowski
71,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Reformy Prawa i Sądów,STENOGRAM z trzeciego posiedzenia Podzespołu do spraw Reformy Prawa i Sądów,22 lutego 1989 r,SYGNATURA= C9540/5,INW= 46083,Łukasz Balcer
72,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Zdrowia,STENOGRAM z drugiego posiedzenia Podzespołu do spraw Zdrowia,28 lutego 1989 r,SYGNATURA= ,INW= 46029,Zofia Kuratowska
